Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M646,Kounine,كونين,33.14892,35.43710,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.14892,35.4371"
M508,Lebaa,لبعا,33.54829,35.45340,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.54829,35.4534"
M507,Louaiziye,لويزة جزين,33.46053,35.53470,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.46053,35.5347"
M487,Loubiye,لوبية,33.42750,35.28796,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.4275,35.28796"
M483,Maamriye,معمارية,33.49209,35.37017,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.49209,35.37017"
M535,Maarake,معركة,33.27265,35.30809,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.27265,35.30809"
M551,Maaroub,معروب,33.28570,35.34652,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.2857,35.34652"
M526,Machmouche,مشموشة,33.57897,35.56875,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.57897,35.56875"
M956,Maghdouche,مغدوشة,33.52262,35.38545,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.52262,35.38545"
M549,Mjadel,المجادل,33.22946,35.35923,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.22946,35.35923"
M693,Majdel Silim,مجدل سلم,33.22169,35.46359,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.22169,35.46359"
M485,Majdelyoun,مجدليون,33.55977,35.41094,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.55977,35.41094"
M550,Majdel Zoun,مجدل زون,33.15119,35.22618,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.15119,35.22618"
M520,Maknouniye,مكنونية ,33.52972,35.54709,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.52972,35.54709"
M559,Mansouri,المنصوري,33.17841,35.20549,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.17841,35.20549"
M683,Marj Ez Zouhour Dnaibe,مرج الزهور الدنيبة,33.46544,35.74436,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.46544,35.74436"
M689,Marjaayoun,مرجعيون,33.36416,35.58623,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.36416,35.58623"
M688,Markaba,مركبا,33.23341,35.51590,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.23341,35.5159"
M644,Maroun er Ras,مارون الراس,33.10753,35.44417,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.10753,35.44417"
M611,Maifadoun,ميفدون,33.34740,35.47538,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.3474,35.47538"
M577,Mahrouneh,محرونه,33.21874,35.34174,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.21874,35.34174"
M583,Mazraat Mechref,مزرعة المشرف,33.20886,35.33398,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.20886,35.33398"
M631,Mazraat Sinai,مزرعة سيناي,33.38760,35.36030,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.3876,35.3603"
M679,Mimes,ميمس,33.41977,35.71355,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.41977,35.71355"
M686,Meiss ej Jabal,ميس الجبل,33.16916,35.52030,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.16916,35.5203"
M682,Mari,ماري,33.32214,35.64145,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.32214,35.64145"
M576,Marouahine,مروحين,33.10942,35.27376,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.10942,35.27376"
M960,Merouaniye,مروانية,33.44629,35.38327,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.44629,35.38327"
M553,Mheilib,محيليب,33.30900,35.23960,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.309,35.2396"
M510,Midane,ميدان ,33.58033,35.56273,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.58033,35.56273"
M962,Miyeh ou Miyeh,مية ومية,33.54298,35.39659,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.54298,35.39659"
M519,Mjaydel,مجيدل,33.51709,35.44004,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.51709,35.44004"
M504,Mlikh,مليخ,33.46897,35.55521,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.46897,35.55521"
M593,Nabatiye el Tahta,نبطية التحتا,33.37696,35.48455,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.37696,35.48455"
M594,Nabatiye el Faouqa,نبطية الفوقا,33.36394,35.49064,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.36394,35.49064"
M477,Najjaryie,نجارية,33.47119,35.34979,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.47119,35.34979"
M983,Naffakhiye,نفاخية,33.27094,35.38423,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.27094,35.38423"
M606,Nmairiye,نميرية,33.42300,35.39801,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.423,35.39801"
M608,Qaaqaait ej Jisr,قعقعية الجسر,33.32454,35.42355,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.32454,35.42355"
